placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,segunda-feira,terça-feira,quarta-feira,quinta-feira,sexta-feira,sábado,domingo,query,timestamp,info,attributes
"https://www.google.com/maps/place/Cl%C3%ADnica+Pr%C3%B3+Est%C3%A9tica+Itaim+Bibi+SP,+Ultraformer,+Fotona,+Gordura+Localizada,+Botox+Facial,+Lipo+Sem+Cortes,+Hipro,+Liftera/data=!4m7!3m6!1s0x94ce57da87308acb:0xc233aac8f5a5d564!8m2!3d-23.5919955!4d-46.6756829!16s%2Fg%2F11y1mp5g9p!19sChIJy4owh9pXzpQRZNWl9ciqM8I","Clínica Pró Estética Itaim Bibi SP, Ultraformer, Fotona, Gordura Localizada, Botox Facial, Lipo Sem Cortes, Hipro, Liftera","4,8",1235,Clínica especializada,"R. João Cachoeira, 1332 - Itaim Bibi, São Paulo - SP, 04535-006, Brasil","C85F+6P Itaim Bibi, São Paulo - SP, Brasil",https://proesteticaoficial.com.br/,+55 11 92103-7117,Aberto · Fecha 21:00,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE4TgAdYzOYnT8b7K0i2pUQ14lnZeBoLh2hmR74CuY3cZO_1k9Afj8Gixzen4eapJlmsBkqC7cvwohvpRjsuQm1xljZIbOIdM4VmmNzQxpNDrGBVQ5JsKRNVs-5yEaSdWWpw0vI0g=w408-h544-k-no,true,08:00–21:00,08:00–21:00,08:00–21:00,08:00–21:00,08:00–21:00,08:00–17:00,Fechado,clínica de estética Itaim Bibi São Paulo,2026-06-15T20:27:42.352Z,,
https://www.google.com/maps/place/Cl%C3%ADnica+Bella+Corpo+-+Est%C3%A9tica+e+Bem+Estar+-+Itaim+Bibi/data=!4m7!3m6!1s0xfbc7f74648dc10d:0xee6c5019d43d8e29!8m2!3d-23.582845!4d-46.675552!16s%2Fg%2F11s5628vpb!19sChIJDcGNZHR_vA8RKY491BlQbO4,Clínica Bella Corpo - Estética e Bem Estar - Itaim Bibi,"5,0",200,Centro de saúde e beleza,"Rua Tabapuã, 500 - Sala 92 - Itaim Bibi, São Paulo - SP, 04533-904, Brasil","C88F+VQ Itaim Bibi, São Paulo - SP, Brasil",https://bellacorpo.com.br/,+55 11 91636-6706,Aberto · Fecha 20:00,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGQ_5T6-zmeDRojcL_yas3oPCYauGLv8NezCtZ7hlEMlSsEq7HZMY6jWvALDf6d02v07iKbm00wTHCTBe3lXhCq8pWdDYddBrdr7tuH5M1e1335V1MBu0pMsrO1wqXPYk3B53o1sA=w408-h544-k-no,true,08:00–20:00,08:00–20:00,08:00–20:00,08:00–20:00,08:00–20:00,08:00–14:00,Fechado,clínica de estética Itaim Bibi São Paulo,2026-06-15T20:27:47.306Z,Se identifica como uma empresa de empreendedoras,
https://www.google.com/maps/place/Onodera+Est%C3%A9tica+-+Itaim+Bibi/data=!4m7!3m6!1s0x94ce575a4ebf9ff1:0x14031e70a842bd3e!8m2!3d-23.5895332!4d-46.6768683!16s%2Fg%2F11h1k8hqb!19sChIJ8Z-_TlpXzpQRPr1CqHAeAxQ,Onodera Estética - Itaim Bibi,"4,6",106,Clínica de cirurgia plástica,"Av. Pres. Juscelino Kubitschek, 787 - Itaim Bibi, São Paulo - SP, 04543-010, Brasil","C86F+57 Itaim Bibi, São Paulo - SP, Brasil",https://www.onodera.com.br/unidades/itaim-bibi/,+55 11 3842-0383,Aberto · Fecha 21:00,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGvyLGDaSyEQuqh_fp2ZjDlhiQzIpQ9NO4V4RTCZ0q8ErX0wmHzu0ObFv5OpZWqm_xoxR5G_x_usp2YIUsKL_LGnuY4bra7kcvDuDrCgfWELlYBAzSb1FifeGrbRvrXNgsnOTLXH9GgBRw=w408-h306-k-no,true,07:00–21:00,07:00–21:00,07:00–21:00,07:00–21:00,07:00–21:00,08:00–16:00,Fechado,clínica de estética Itaim Bibi São Paulo,2026-06-15T20:27:51.547Z,,
https://www.google.com/maps/place/Limpeza+de+Pele+Itaim+Bibi+%7C+Juliestetik/data=!4m7!3m6!1s0x94ce57f93721363b:0x882866e12f2e81c6!8m2!3d-23.5839537!4d-46.6768843!16s%2Fg%2F11kpxtzsbm!19sChIJOzYhN_lXzpQRxoEuL-FmKIg,Limpeza de Pele Itaim Bibi | Juliestetik,"5,0",247,Centro de saúde e beleza,"Rua Urussuí, 71 - Itaim Bibi, São Paulo - SP, 04542-050, Brasil","C88F+C6 Itaim Bibi, São Paulo - SP, Brasil",https://www.juliestetik.com/,+55 11 94777-1801,"Aberto · Fecha 23:00

Atualizado por esta empresa há 1 semana",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFvLsp7nKE6b8qgCXo9Q7wcg6f3ylNkrMwY21uFILzauon76EonfEJbEsQrek3imywb4rasuXDUv9gowDApcBZLalpSAZHgE4F67ueFYRtOyvG14SPUmCtlP1V1mgMFs4lLPb7Lhg3gVEix=w408-h306-k-no,true,06:00–23:00,06:00–23:00,06:00–23:00,06:00–23:00,06:00–23:00,Fechado,Fechado,clínica de estética Itaim Bibi São Paulo,2026-06-15T20:27:56.134Z,Empresa que acolhe a comunidade LGBTQ+,· Compras na loja
https://www.google.com/maps/place/Life+Itaim+Cl%C3%ADnica+de+Est%C3%A9tica+Harmoniza%C3%A7%C3%A3o+Facial+e+Emagrecimento/data=!4m7!3m6!1s0x94ce57edbcea5fd3:0x1604792354e471a6!8m2!3d-23.5832169!4d-46.6754615!16s%2Fg%2F11sc__ld5q!19sChIJ01_qvO1XzpQRpnHkVCN5BBY,Life Itaim Clínica de Estética Harmonização Facial e Emagrecimento,"5,0",196,Centro estético,"Rua Tabapuã, 503 - Itaim Bibi, São Paulo - SP, 04533-011, Brasil","C88F+PR Itaim Bibi, São Paulo - SP, Brasil",https://www.instagram.com/lifeitaim/,+55 11 93340-1752,Aberto · Fecha 20:00,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFA8wOoIwrvH5ViRkMfQnnt__WRokKCwr7gRdMtswbeMpwcFK1TESJgGDj8EeTUzRLb2I3xHTgC5OtY4Eje4qCeTP_gTgCKr4wRUe8AUdvYhkj69NYD8bIW7Vpm3BJF2QaHEOZ8laFJbDpg=w408-h408-k-no,true,09:00–20:00,09:00–20:00,09:00–20:00,09:00–20:00,09:00–20:00,09:00–17:00,Fechado,clínica de estética Itaim Bibi São Paulo,2026-06-15T20:28:00.400Z,Empresa que acolhe a comunidade LGBTQ+,
https://www.google.com/maps/place/Giolaser+Itaim+Bibi/data=!4m7!3m6!1s0x94ce575d0d805cb9:0xefbb59832e02931!8m2!3d-23.5837577!4d-46.6784238!16s%2Fg%2F11ckkwpvnb!19sChIJuVyADV1XzpQRMSngMpi1-w4,Giolaser Itaim Bibi,"4,7",137,Serviço de depilação a laser,"Rua Tabapuã, 810 - Itaim Bibi, São Paulo - SP, 04533-003, Brasil","C88C+FJ Itaim Bibi, São Paulo - SP, Brasil",https://www.giolaser.com.br/itaim-bibi/,+55 11 3071-1751,Aberto · Fecha 20:00,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHjmYuBW69x5C7foJgqmBZOO7NbvN7RM86C1kXWitNDA6AesKHsC7kpCf4D7L9KZeAgaTbj4SJmbg1yojSQXfvtaL9wwmBPGgCa9snk4CACCFA_GsXR-qrETj-foP3Vq3ju_vypsw=w408-h306-k-no,true,08:00–20:00,08:00–20:00,08:00–20:00,08:00–20:00,08:00–20:00,08:00–17:00,Fechado,clínica de estética Itaim Bibi São Paulo,2026-06-15T20:28:04.679Z,,
https://www.google.com/maps/place/Cl%C3%ADnica+De+Est%C3%A9tica+Sheila+Duarte+Itaim+Bibi+%7C+Limpeza+de+Pele+Botox+Microfocado+Depila%C3%A7%C3%A3o+Drenagem+Linf%C3%A1tica+Laser+Lavieen/data=!4m7!3m6!1s0x94ce573fb029fa49:0x7e09599aae500f2d!8m2!3d-23.5923775!4d-46.6740422!16s%2Fg%2F11y3zy5gkq!19sChIJSfopsD9XzpQRLQ9QrppZCX4,Clínica De Estética Sheila Duarte Itaim Bibi | Limpeza de Pele Botox Microfocado Depilação Drenagem Linfática Laser Lavieen,"5,0",104,Clínica especializada,"R. Comendador Miguel Calfat, 128 - cj 1302 - Vila Nova Conceição, São Paulo - SP, 04537-080, Brasil","C85G+29 Vila Nova Conceição, São Paulo - SP, Brasil",http://sheiladuarte.com.br/,+55 11 99944-9620,Aberto · Fecha 22:00,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEeQewYIZAk0I7bHp66yzrXdQMRZNjf1q2ef6zXDiJd2Mrc2jc5CbXn6WAVCO92SnzYYsCTPGKfzExfrbSXX6RrKZbNwANABqQf721emu3sfIMb79-7cF59ZyUSwkvU2oWT5Nmw=w408-h510-k-no,true,09:00–22:00,09:00–22:00,09:00–22:00,09:00–22:00,09:00–22:00,09:00–22:00,Fechado,clínica de estética Itaim Bibi São Paulo,2026-06-15T20:28:09.080Z,Empresa que acolhe a comunidade LGBTQ+,
https://www.google.com/maps/place/Cl%C3%ADnica+de+Est%C3%A9tica+no+Itaim+Bibi+%7C+Instituto+M%C3%B4nica+Silva/data=!4m7!3m6!1s0x94ce573933c471b9:0xd6a4d8381a13fa44!8m2!3d-23.5823875!4d-46.6770774!16s%2Fg%2F11yr_2k1my!19sChIJuXHEMzlXzpQRRPoTGjjYpNY,Clínica de Estética no Itaim Bibi | Instituto Mônica Silva,"5,0",6,Centro de saúde e beleza,"R. Jesuíno Arruda, 676 - Sala 36 - Itaim Bibi, São Paulo - SP, 04532-082, Brasil","C89F+25 Itaim Bibi, São Paulo - SP, Brasil",https://www.instagram.com/institutomonicasilva/,+55 11 98893-2111,Aberto · Fecha 20:00,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=DhWyOWXHi73Vt0DqfAPj0g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=339.79657&pitch=0&thumbfov=100,true,08:00–20:00,08:00–20:00,08:00–20:00,08:00–20:00,08:00–20:00,Fechado,Fechado,clínica de estética Itaim Bibi São Paulo,2026-06-15T20:28:13.378Z,Se identifica como uma empresa de empreendedoras,
https://www.google.com/maps/place/Esteticista+Giselle+Chaves+%7C+Limpeza+de+Pele+%7C+Drenagem+Linf%C3%A1tica+%7C+Itaim+Bibi/data=!4m7!3m6!1s0x94ce5b25329edb67:0x7122a03a0c99a39d!8m2!3d-23.5843945!4d-46.6750771!16s%2Fg%2F11nxghygvs!19sChIJZ9ueMiVbzpQRnaOZDDqgInE,Esteticista Giselle Chaves | Limpeza de Pele | Drenagem Linfática | Itaim Bibi,"5,0",88,Centro de saúde e beleza,"R. Joaquim Floriano, 466 - CJ 1703 - Itaim Bibi, São Paulo - SP, 04534-002, Brasil","C88F+6X Itaim Bibi, São Paulo - SP, Brasil",,+55 11 99911-2772,Fecha em breve · 18:00 · Abre ter. às 10:00,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEAQfgfHIlwPswRH9GJJbi0428gJu899Oyt_E67DO2D2B2qEnQgyxF36NVZTyNh3lx4RpYoUiUqGBK94o3T9JE1PbcPmZyuck2xXLTDKlo0zc7HjrL8eD0S5pZdFOOoubQ7P45DZccspA4=w408-h612-k-no,true,10:00–18:00,10:00–18:00,10:00–18:00,10:00–18:00,10:00–18:00,Fechado,Fechado,clínica de estética Itaim Bibi São Paulo,2026-06-15T20:28:17.684Z,,
https://www.google.com/maps/place/Dra.+Maf%C3%AA+Porfirio+-+Est%C3%A9tica+Avan%C3%A7ada+e+Injet%C3%A1veis+no+Itaim+Bibi/data=!4m7!3m6!1s0x94ce576c3d70434f:0x57519a1b8fc2e90c!8m2!3d-23.5853198!4d-46.6756691!16s%2Fg%2F11lt26z8lm!19sChIJT0NwPWxXzpQRDOnCjxuaUVc,Dra. Mafê Porfirio - Estética Avançada e Injetáveis no Itaim Bibi,"5,0",32,Centro de saúde e beleza,"R. Bandeira Paulista, 662 - cj 105 - Itaim Bibi, São Paulo - SP, 04532-002, Brasil","C87F+VP Itaim Bibi, São Paulo - SP, Brasil",http://www.mafeporfirioestetica.com.br/,+55 11 98935-5487,Aberto · Fecha 19:00,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHaTgAfBog0ZZfQYYMSNxYRK6Yz2NjQ45mBYyJqoT1S8bMUG9cYwcHOfGqpljidsJFRTNMKTA_6lyPRoe3ukC8SNbveG1nRuv0YClZ6p_RX_dRs_lggWqNMcobd4bfy8joVDQBh0EYO80IC=w408-h725-k-no,true,08:30–19:00,08:30–19:00,08:30–19:00,08:30–19:00,08:30–19:00,09:00–14:00,Fechado,clínica de estética Itaim Bibi São Paulo,2026-06-15T20:28:21.980Z,Se identifica como uma empresa de empreendedoras,
