placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,segunda-feira,terça-feira,quarta-feira,quinta-feira,sexta-feira,sábado,domingo,query,timestamp
https://www.google.com/maps/place/SD+Marketing+Mobile+%7C+Assessoria+Digital/data=!4m7!3m6!1s0x94ce5932d2369015:0x6fc2db18196592a1!8m2!3d-23.5860854!4d-46.6823554!16s%2Fg%2F11f5vb96q3!19sChIJFZA20jJZzpQRoZJlGRjbwm8,SD Marketing Mobile | Assessoria Digital,"5,0",74,Agência de marketing digital,"Av. Brig. Faria Lima, 3447 - Itaim Bibi, São Paulo - SP, 04538-132, Brasil","C879+H3 Itaim Bibi, São Paulo - SP, Brasil",https://sdmarketingmobile.com/,,,Empresa que acolhe a comunidade LGBTQ+,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGImrGDIfLdav775eLjg3Kedp3dAt4x8kcUi5tN0LexGlrMB0nGsDdEWJ1GMnmWNKQ0mnJHKuxJJIdjubU_IJiXD_V0Pv6mIxai_qAba7KYTSA60x5zrbRLeQpLyZfPQhsXMRyAc96rGMfg=w408-h408-k-no,true,08:00–20:00,08:00–20:00,08:00–20:00,08:00–20:00,08:00–20:00,08:00–20:00,08:00–20:00,agência de marketing Itaim Bibi,2026-06-15T17:40:19.880Z
"https://www.google.com/maps/place/Ag%C3%AAncia+Nume+Company+-+Empresa+de+Marketing+Digital+Full+Service+no+Itaim+Bibi,+S%C3%A3o+Paulo-SP/data=!4m7!3m6!1s0x94c58bffe7947273:0x3bc7ede58ad7e2c3!8m2!3d-23.5898295!4d-46.679656!16s%2Fg%2F11jn0d6c2n!19sChIJc3KU5_-LxZQRw-LXiuXtxzs","Agência Nume Company - Empresa de Marketing Digital Full Service no Itaim Bibi, São Paulo-SP","5,0",37,Agência de marketing digital,"Av. Pres. Juscelino Kubitschek, 1327 - Itaim Bibi, São Paulo - SP, 04543-011, Brasil","C86C+34 Itaim Bibi, São Paulo - SP, Brasil",http://www.numecompany.com/,+55 15 99758-7720,Aberto · Fecha 20:00,Empresa que acolhe a comunidade LGBTQ+,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEUHg3_S3ShmhHAjcVZvn3WumYwUAnVbCpZmlvJTbAEWKPgp2JkBT2RhEVcc1Zvc-_66dCH-MzimiRwKNtYLPkVnbW4WlU4m_Oge5_MaXjrbunLuNbJCgEF9D0pYDA_x3MGkEugOg=w408-h288-k-no,true,08:00–20:00,08:00–20:00,08:00–20:00,08:00–20:00,08:00–20:00,08:00–20:00,08:00–04:30,agência de marketing Itaim Bibi,2026-06-15T17:40:25.952Z
https://www.google.com/maps/place/Ag%C3%AAncia+Estrat%C3%A9gica+Marketing+Digital/data=!4m7!3m6!1s0x94ce57513091c387:0x2c8b5a81f2a24526!8m2!3d-23.5912891!4d-46.6821625!16s%2Fg%2F11vb_lk9t5!19sChIJh8ORMFFXzpQRJkWi8oFaiyw,Agência Estratégica Marketing Digital,"5,0",20,Agência de Marketing,"Av. Pres. Juscelino Kubitschek, 1327 - 4º andar – Conjunto 41 – CV 1157 - Itaim Bibi, São Paulo - SP, 04543-011, Brasil","C859+F4 Itaim Bibi, São Paulo - SP, Brasil",http://agenciaestrategica.com.br/,+55 11 91092-6250,Aberto · Fecha 18:00,Empresa que acolhe a comunidade LGBTQ+,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEozBYxZ7eANw4RaPH-qjfUz4od0y3BUcCNCGw3w-Z4yuXwbtd6OERjZ-Hgko1B7MZ63Otfn2GY34MvAjNYL7RxKFSDzSVvbGgeruCZblpbfT_H8xyPOBS1DVEwjwk5lJmNDIo=w1243-h240-k-no,true,08:00–18:00,08:00–18:00,08:00–18:00,08:00–18:00,08:00–18:00,Fechado,Fechado,agência de marketing Itaim Bibi,2026-06-15T17:40:30.813Z
https://www.google.com/maps/place/Bueno+-+Agencia+de+Marketing+Digital./data=!4m7!3m6!1s0x94ce5bfc938235a5:0xf479d0ef0367a5ea!8m2!3d-23.5910963!4d-46.6823465!16s%2Fg%2F11ylmxtjh9!19sChIJpTWCk_xbzpQR6qVnA-_QefQ,Bueno - Agencia de Marketing Digital.,"5,0",5,Agência de Marketing,"Av. Pres. Juscelino Kubitschek, 1327 - Itaim Bibi, São Paulo - SP, 13571-410, Brasil","C859+H3 Itaim Bibi, São Paulo - SP, Brasil",https://buenoagencia.com/,+55 11 98510-7634,Aberto 24 horas,Empresa que acolhe a comunidade LGBTQ+,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=h5sdVWSdo1v9FmuwQ6585g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=170.06444&pitch=0&thumbfov=100,true,Atendimento 24 horas,Atendimento 24 horas,Atendimento 24 horas,Atendimento 24 horas,Atendimento 24 horas,Atendimento 24 horas,Atendimento 24 horas,agência de marketing Itaim Bibi,2026-06-15T17:40:35.460Z
https://www.google.com/maps/place/Axei/data=!4m7!3m6!1s0x94ce59d80b136815:0x8f85e9a438fd81f3!8m2!3d-23.5836194!4d-46.67655!16s%2Fg%2F11k5t05yjj!19sChIJFWgTC9hZzpQR84H9OKTphY8,Axei,"4,9",1055,Agência de marketing digital,"Rua Tabapuã, 627 - 8º Andar - Itaim Bibi, São Paulo - SP, 04533-012, Brasil","C88F+H9 Itaim Bibi, São Paulo - SP, Brasil",http://www.axei.vc/,+55 800 652 2934,Aberto · Fecha 18:00,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Qis_vLJw6ZDYmzlwsbucSQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=166.60025&pitch=0&thumbfov=100,true,09:00–18:00,09:00–18:00,09:00–18:00,09:00–18:00,09:00–18:00,Fechado,Fechado,agência de marketing Itaim Bibi,2026-06-15T17:40:40.227Z
https://www.google.com/maps/place/LEN+Comunica%C3%A7%C3%A3o+e+Branding/data=!4m7!3m6!1s0x94ce570cb2625cfd:0x31e291fdd64cf72d!8m2!3d-23.5823289!4d-46.6713643!16s%2Fg%2F1tdzh359!19sChIJ_VxisgxXzpQRLfdM1v2R4jE,LEN Comunicação e Branding,"4,4",21,Agência de Marketing,"Rua Tabapuã, 81 - 9º andar - Itaim Bibi, São Paulo - SP, 04533-010, Brasil","C89H+3F Itaim Bibi, São Paulo - SP, Brasil",http://www.len.com.br/,+55 11 3093-2222,Aberto · Fecha 19:00,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHrajNUrqzMhzpDwNwMLrRXfgDz9TSK2VsYXMqbLjvuzkQegnzus5ONhE5Qwp3807x5gYH4j_IVnktsMTtBCukFchQPa6PMS7B65lEqEjHEBp-npeDNY6Z-SONi02gCNHEol_Mp=w408-h240-k-no-pi-0-ya19.69424-ro-0-fo100,false,09:00–19:00,09:00–19:00,09:00–19:00,09:00–19:00,09:00–19:00,Fechado,Fechado,agência de marketing Itaim Bibi,2026-06-15T17:40:44.926Z
https://www.google.com/maps/place/Ag%C3%AAncia+Digital+OTT/data=!4m7!3m6!1s0x94ce598fc7b1a99d:0xc92d9929f5fdae02!8m2!3d-23.5912891!4d-46.6821625!16s%2Fg%2F11nmlyfnfx!19sChIJnamxx49ZzpQRAq799SmZLck,Agência Digital OTT,"5,0",40,Agência de marketing digital,"Av. Pres. Juscelino Kubitschek, 1327 - 8º andar - Itaim Bibi, São Paulo - SP, 01310-200, Brasil","C859+F4 Itaim Bibi, São Paulo - SP, Brasil",http://digitalott.com.br/,+55 11 94988-0615,Aberto · Fecha 19:00,Empresa que acolhe a comunidade LGBTQ+,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEHe1aKR1knJP1IEXkHUIVLUr7kzFqg7Dc8qZ8oSTSqpdzk7n90_2BGBOUS9r18SW6QHSjm2AW8GxyCPVcIyJ6EPp9gPmXUla7T_T_4sqq8hNo-8B0cOuJLAMwUzd-e_7g8ZKr6d8-V5E0v=w408-h491-k-no,true,09:00–19:00,09:00–19:00,09:00–19:00,09:00–19:00,09:00–19:00,Fechado,Fechado,agência de marketing Itaim Bibi,2026-06-15T17:40:49.993Z
"https://www.google.com/maps/place/Inpyx+-+E-commerce,+Marketing+Digital+e+Performance+-+h%C3%A1+12+anos+construindo+canais+digitais+saud%C3%A1veis./data=!4m7!3m6!1s0x94ce59b8c236b55f:0x32ca9bf2ecdcc6e1!8m2!3d-23.584884!4d-46.6798583!16s%2Fg%2F11cn0mbhq7!19sChIJX7U2wrhZzpQR4cbc7PKbyjI","Inpyx - E-commerce, Marketing Digital e Performance - há 12 anos construindo canais digitais saudáveis.","5,0",22,Agência de publicidade,"R. Clodomiro Amazonas, 67 - casa 2 - Itaim Bibi, São Paulo - SP, 04537-010, Brasil","C88C+23 Itaim Bibi, São Paulo - SP, Brasil",https://inpyx.com/,+55 11 98843-1935,Aberto · Fecha 20:00,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH-BdmsfS3LXCiTps_QLJm-cLvepPxQzvD9bxUIussIqMqxQuzPpB0aXagrHIvvx3tgH4spr-fLdvbbz70C0MGzxffhx12FUiAOvVEYpSr7c6ceit_AGKIolkIuZwRagoH0Z_7x=w408-h306-k-no,true,09:00–20:00,09:00–20:00,09:00–20:00,09:00–20:00,09:00–20:00,Fechado,Fechado,agência de marketing Itaim Bibi,2026-06-15T17:40:54.676Z
https://www.google.com/maps/place/Matr%C3%ADculas+Autom%C3%A1ticas+%7C+Ag%C3%AAncia+de+Marketing+Educacional/data=!4m7!3m6!1s0x94ce57337f6618af:0xb4c2eaa0d40ada05!8m2!3d-23.5865543!4d-46.6782469!16s%2Fg%2F11b6jbzqb3!19sChIJrxhmfzNXzpQRBdoK1KDqwrQ,Matrículas Automáticas | Agência de Marketing Educacional,"5,0",156,Agência de marketing digital,"R. Iaiá, 112 - Sala 54 - Itaim Bibi, São Paulo - SP, 04542-060, Brasil","C87C+9P Itaim Bibi, São Paulo - SP, Brasil",https://matriculasautomaticas.com.br/,+55 11 98839-8421,"Aberto 24 horas

Atualizado por esta empresa há 2 semanas",Empresa que acolhe a comunidade LGBTQ+,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFAM4ZqkqID7ZPUiPo0Q-uNjDpS_zB_czLGtwOC_OOV-smaTTybHLd18tyb7F5Chajlyt23xv60iaZtXCP_L3qi9oorjWsVn51p3HuyZCCacuEnwMB1ReQys3aEagvNvXht4C9-bwdQr_Eu=w426-h240-k-no,true,Atendimento 24 horas,Atendimento 24 horas,Atendimento 24 horas,Atendimento 24 horas,Atendimento 24 horas,Atendimento 24 horas,Atendimento 24 horas,agência de marketing Itaim Bibi,2026-06-15T17:40:59.472Z
https://www.google.com/maps/place/365GrowthCo+-+Ag%C3%AAncia+Marketing+Global/data=!4m7!3m6!1s0x94ce5713dd74086f:0x114cf7ab450aa87b!8m2!3d-23.5907732!4d-46.6827438!16s%2Fg%2F11zb8ff37d!19sChIJbwh03RNXzpQRe6gKRav3TBE,365GrowthCo - Agência Marketing Global,"5,0",7,Agência de Marketing,"Av. Pres. Juscelino Kubitschek, 1416 - Itaim Bibi, São Paulo - SP, 04543-000, Brasil","C858+MW Itaim Bibi, São Paulo - SP, Brasil",https://365growthco.com/,+55 14 98173-7863,"Aberto · Fecha 20:00

Atualizado por esta empresa há 5 semanas",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHKs8rqK-MyhMKvrEnvr20HDnzTmOqSG8up04HngIZJEvwylQjQK7zzpUsVonM4zv8INyTCXbhvb94T2lxJzboMyzQOAao4g_wYeXu6NNuUsB06wIOIPcbAzdKEcRUW_4_fcC-rlwJG9m2b=w408-h324-k-no,true,08:00–20:00,08:00–20:00,08:00–20:00,08:00–20:00,08:00–20:00,08:00–12:00,Fechado,agência de marketing Itaim Bibi,2026-06-15T17:41:04.317Z
